City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Faanui,PF,2021-10-18 14:56:38,-16.4833,-151.75,79.14,80,72,17.07
242,Mecca,SA,2021-10-18 15:00:14,21.4267,39.8261,92.61,35,1,9.19
243,Belaya Gora,RU,2021-10-18 15:02:29,68.5333,146.4167,-3.14,97,77,2.98
244,Kavieng,PG,2021-10-18 14:58:55,-2.5744,150.7967,82.89,73,13,12.33
245,Georgetown,MY,2021-10-18 14:56:24,5.4112,100.3354,84.15,81,20,0.0
246,Porto Santo,PT,2021-10-18 15:03:07,33.072,-16.3415,76.91,73,0,11.5
247,Montlucon,FR,2021-10-18 15:04:38,46.3333,2.6,72.7,54,100,1.34
248,Pyshchug,RU,2021-10-18 15:04:38,58.8873,45.7134,35.89,98,100,6.93
249,Ancud,CL,2021-10-18 14:56:21,-41.8697,-73.8203,61.43,66,3,3.74
250,Pevek,RU,2021-10-18 14:56:55,69.7008,170.3133,4.84,90,98,4.5
251,Balkanabat,TM,2021-10-18 15:04:39,39.5108,54.3671,69.21,33,62,5.3
252,Berlevag,NO,2021-10-18 14:58:06,70.8578,29.0864,33.6,73,100,27.81
253,Miandrivazo,MG,2021-10-18 15:04:40,-19.5167,45.4667,89.15,38,11,17.78
254,Acari,PE,2021-10-18 15:00:53,-15.4311,-74.6158,71.87,64,97,7.99
255,Dwarka,IN,2021-10-18 15:04:40,22.2394,68.9678,81.79,66,72,12.35
256,Pesqueira,BR,2021-10-18 15:03:19,-8.3578,-36.6964,90.03,29,97,12.46
257,Krasnoselkup,RU,2021-10-18 14:59:11,65.7,82.4667,37.29,93,100,16.04
258,Caravelas,BR,2021-10-18 14:58:27,-17.7125,-39.2481,84.58,58,57,10.63
259,Kolda,SN,2021-10-18 15:04:41,12.8833,-14.95,94.35,45,83,1.81
260,Zhigansk,RU,2021-10-18 15:02:31,66.7697,123.3711,18.43,92,100,15.28
261,Esperance,AU,2021-10-18 14:56:29,-33.8667,121.9,60.64,74,5,15.99
262,Severo-Kurilsk,RU,2021-10-18 14:56:14,50.6789,156.125,40.1,70,20,22.48
263,Kavali,IN,2021-10-18 15:04:42,14.9167,79.9833,85.19,70,74,5.5
264,Abatskoye,RU,2021-10-18 15:04:42,56.2875,70.4555,48.24,68,100,10.92
265,Roebourne,AU,2021-10-18 15:02:50,-20.7833,117.1333,74.26,66,4,9.6
266,Pedernales,DO,2021-10-18 15:04:42,18.0384,-71.744,84.67,69,30,4.99
267,Armeria,MX,2021-10-18 15:04:43,18.9333,-103.9667,83.5,75,25,3.47
268,Te Anau,NZ,2021-10-18 14:58:00,-45.4167,167.7167,46.81,94,100,7.81
269,Pudozh,RU,2021-10-18 15:04:43,61.8099,36.5345,36.55,96,100,6.85
270,Dudinka,RU,2021-10-18 15:04:44,69.4058,86.1778,34.74,98,100,17.2
271,Lubben,DE,2021-10-18 15:04:44,51.95,13.9,61.18,62,100,4.32
272,San Quintin,MX,2021-10-18 14:57:42,30.4833,-115.95,62.98,71,76,9.28
273,Walvis Bay,NA,2021-10-18 15:04:44,-22.9575,14.5053,63.09,36,68,19.33
274,Barmer,IN,2021-10-18 15:04:45,25.75,71.3833,86.4,8,3,7.14
275,Saldanha,ZA,2021-10-18 14:53:35,-33.0117,17.9442,73.45,62,0,21.92
276,Mount Gambier,AU,2021-10-18 14:56:11,-37.8333,140.7667,44.51,93,8,2.3
277,Chapais,CA,2021-10-18 15:04:45,49.7834,-74.8492,38.98,95,100,9.82
278,Namibe,AO,2021-10-18 14:57:07,-15.1961,12.1522,75.83,69,20,16.11
279,Newport,GB,2021-10-18 15:02:31,51.5877,-2.9984,63.18,93,100,11.65
280,Yining,CN,2021-10-18 15:04:46,29.0361,114.5636,54.09,93,100,0.63
281,Naze,JP,2021-10-18 14:58:50,28.3667,129.4833,70.25,81,80,12.44
282,Tiszaalpar,HU,2021-10-18 15:04:46,46.8128,19.9984,58.08,61,75,7.78
283,Ratnagiri,IN,2021-10-18 15:04:47,16.9833,73.3,79.66,77,3,6.38
284,Pangai,TO,2021-10-18 15:04:47,-19.8,-174.35,76.46,79,18,21.9
285,Aleksandrov Gay,RU,2021-10-18 15:04:48,50.147,48.5704,56.1,71,100,6.73
286,Alice Springs,AU,2021-10-18 14:57:49,-23.7,133.8833,76.55,23,84,0.0
287,Hunchun,CN,2021-10-18 15:04:48,42.8675,130.3581,39.92,88,100,6.69
288,Piranhas,BR,2021-10-18 15:04:48,-16.4269,-51.8222,92.46,44,99,4.61
289,Cachira,CO,2021-10-18 15:04:49,7.741,-73.0483,65.48,63,86,1.01
290,Leningradskiy,RU,2021-10-18 14:56:21,69.3833,178.4167,2.79,95,98,3.2
291,Camacha,PT,2021-10-18 15:02:23,33.0833,-16.3333,74.16,73,0,11.5
292,Zyryanovsk,KZ,2021-10-18 15:04:49,49.7386,84.2719,40.57,62,2,2.53
